x,Red,Green,Blue
356.91,0.13385,0.00087,0.00567
369.43,0.11849,0.00882,0.03344
373.81,0.11864,0.01158,0.04458
381.95,0.13197,0.01676,0.07136
388.21,0.15618,0.02084,0.1095
391.97,0.17804,0.02334,0.14954
399.48,0.19379,0.02853,0.21833
401.99,0.19332,0.03033,0.23777
412.32,0.18142,0.03818,0.29729
422.02,0.1622,0.04641,0.33174
432.04,0.13084,0.05613,0.36844
442.05,0.05582,0.06767,0.42182
446.75,0.04527,0.07399,0.44194
458.64,0.02811,0.09457,0.44899
462.09,0.0245,0.10275,0.45899
468.66,0.01888,0.12465,0.47441
479.62,0.0131,0.17781,0.45885
487.13,0.01213,0.20354,0.43731
499.65,0.01823,0.24975,0.38853
504.66,0.02418,0.28261,0.3623
512.17,0.03822,0.35294,0.30644
514.67,0.04464,0.37318,0.28729
522.19,0.07158,0.42799,0.23991
527.2,0.09928,0.49351,0.20915
527.87,0.10371,0.50253,0.20475
537.21,0.16539,0.55535,0.15216
541.59,0.1714,0.5545,0.13617
542.22,0.1711,0.55371,0.13414
550.43,0.15672,0.53499,0.11135
560.37,0.15673,0.50043,0.08959
564.76,0.19983,0.48234,0.08168
569.77,0.2451,0.45932,0.07411
572.27,0.278,0.44634,0.07102
574.77,0.32775,0.43135,0.06854
579.78,0.42182,0.38431,0.06582
587.3,0.48163,0.30616,0.06754
589.8,0.5,0.27876,0.06923
594.81,0.57816,0.22801,0.07287
599.82,0.62296,0.18503,0.07522
602.32,0.63882,0.14986,0.07558
604.83,0.65321,0.09705,0.07556
614.84,0.70996,0.06235,0.07441
617.35,0.73139,0.05973,0.07438
618.01,0.77096,0.05917,0.07441
629.87,0.77483,0.05523,0.08113
632.54,0.77575,0.05537,0.08528
642.39,0.79396,0.05813,0.11197
645.56,0.8186,0.05971,0.12401
651.47,0.84619,0.06355,0.14905
652.4,0.84658,0.06427,0.15307
664.93,0.84675,0.07805,0.202
669.93,0.8534,0.08744,0.21957
672.44,0.86126,0.0939,0.22813
681.84,0.91812,0.14812,0.25802
682.46,0.92089,0.15311,0.25975
689.97,0.92534,0.19474,0.27786
693.67,0.92503,0.21125,0.28446
697.48,0.9329,0.22817,0.2895
699.98,0.93095,0.23961,0.29179
704.99,0.917,0.26356,0.29384
710.63,0.92309,0.29334,0.2922
712.51,0.93153,0.30635,0.29092
727.59,0.99401,0.31649,0.27314
736.27,0.95434,0.32946,0.26145
745.06,0.92159,0.3658,0.25326
745.71,0.92119,0.36977,0.25294
757.58,0.94233,0.44398,0.25676
767.6,0.96665,0.534,0.27639
769.07,0.96899,0.54291,0.28088
772.61,0.97235,0.55086,0.29394
775.11,0.97236,0.55327,0.3057
780.99,0.9636,0.55472,0.34956
782.62,0.95929,0.55446,0.36899
787.63,0.94219,0.55348,0.44716
795.14,0.91045,0.5575,0.58473
797.65,0.90005,0.56285,0.6275
800.15,0.89093,0.57236,0.66289
802.38,0.88492,0.58473,0.68991
807.66,0.88367,0.62167,0.74106
810.17,0.88856,0.6379,0.7603
817.68,0.90174,0.67699,0.81611
821.8,0.89997,0.69704,0.84033
825.19,0.89377,0.71608,0.84199
831.18,0.87678,0.744,0.83553
835.21,0.86258,0.73589,0.82864
850.24,0.7974,0.70987,0.79688
854.97,0.77363,0.71162,0.78591
866.41,0.7574,0.72544,0.75836
867.2,0.75655,0.7254,0.75641
879.82,0.74757,0.70907,0.72443
886.52,0.72887,0.69425,0.70674
890.3,0.71236,0.68492,0.69646
890.86,0.70991,0.68349,0.69491
901.91,0.65991,0.65003,0.64519
902.3,0.658,0.64833,0.63858
903.73,0.65084,0.64113,0.62412
907.43,0.62009,0.60275,0.59491
907.7,0.61389,0.6002,0.59287
908.22,0.60419,0.59592,0.58907
911.77,0.57037,0.57268,0.56357
914.66,0.55317,0.55616,0.54545
915.31,0.54965,0.55234,0.54182
923.6,0.51049,0.51586,0.50502
924.39,0.50712,0.5128,0.50195
925.96,0.50047,0.50669,0.49584
937.79,0.45731,0.46186,0.45372
940.16,0.44978,0.45308,0.446
949.94,0.4191,0.41788,0.414
957.51,0.39269,0.39147,0.38679
959.38,0.38426,0.38192,0.37953
965.01,0.35085,0.35211,0.35634
977.63,0.29856,0.28931,0.29967
981.24,0.28413,0.27401,0.28293
982.75,0.27801,0.26841,0.27596
993.01,0.23527,0.24387,0.23125
997.14,0.21814,0.23309,0.2149
1001.69,0.20025,0.21674,0.19792
1011.54,0.16707,0.17475,0.16481
1017.46,0.14808,0.14899,0.14793
1017.52,0.1479,0.14876,0.14778
1028.5,0.111,0.11098,0.11806
1030.43,0.10479,0.10535,0.11222
1039.15,0.07967,0.08004,0.08408
1043.88,0.069,0.06835,0.06983
1049.81,0.05847,0.05637,0.05565
1059.66,0.04475,0.04194,0.04027
1060.84,0.04312,0.0405,0.03884
1078.2,0.02016,0.0227,0.02175
1080.62,0.01789,0.02044,0.01963
1086.87,0.0135,0.01458,0.01426
1095.94,0.00935,0.00544,0.00643
